fishing boats,colors of,the rainbow
"Patience, children, just a minute--",See the spreading circles die; The stream,and all in it Will clear by-and-by.
Of speckled eggs the birdie sings,And nests among the trees; The sailor sings of,ropes and things In ships upon the seas.
"The children sing in far Japan, The",children sing in Spain; The organ with the organ,man Is singing in the rain.
My bed is like a little boat;,Nurse helps me in when I embark; She girds me in,my sailor's coat And starts me in the dark.
"At night, I go on board and say Good",night to all my friends on shore; I shut my eyes and sail,away And see and hear no more.
"And sometimes things to bed I take, As",prudent sailors have to do; Perhaps a slice,"of wedding-cake, Perhaps a toy or two."
All night across the dark we steer: But,"when the day returns at last Safe in my room, beside","the pier, I find my vessel fast."
"Over the borders, a sin without pardon, Breaking","the branches and crawling below, Out through the breach in the wall of the","garden, Down by the banks of the river, we go."
"Here is the mill with the humming of thunder, Here is","the weir with the wonder of foam, Here is the sluice with the race running","under-- Marvelous places, though handy to home!"
"Years may go by, and the",wheel in the river Wheel as it wheels,"for us, children, to-day."
Wheel and keep roaring and,foaming for ever Long after,all of the boys are away.
"Home from the Indies and home from the ocean, Heroes",and soldiers we all shall come home; Still we shall find the old mill wheel in,"motion, Turning and churning that river to foam."
"You with the bean that I gave when we quarreled, I","with your marble of Saturday last, Honored and old and all gaily","apparelled, Here we shall meet and remember the past."
When children are playing alone,"on the green, In comes the playmate",that never was seen.
When children are happy and,"lonely and good, The Friend of the Children",comes out of the wood.
"Nobody heard him and nobody saw, His is a","picture you never could draw, But he's sure to be present, abroad or at","home, When children are happy and playing alone."
I saw you toss the kites on high And blow the,"birds about the sky; And all around I heard you pass, Like ladies'","skirts across the grass-- O wind, a-blowing all day long!"
"O wind,",that sings so,loud a song!
I saw the different,"things you did, But always you",yourself you hid.
"I felt you push, I heard you call,","I could not see yourself at all-- O wind, a-blowing all day","long, O wind, that sings so loud a song!"
O you that are so,"strong and cold, O blower,",are you young or old?
Are you a beast of,"field and tree, Or just a stronger",child than me?
"O wind, a-blowing all","day long, O wind, that sings",so loud a song!
"I woke before the morning, I","was happy all the day, I never said an ugly","word, but smiled and stuck to play."
And now at last the sun is going,"down behind the wood, And I am very","happy, for I know that I've been good."
"My bed is waiting cool and fresh,","with linen smooth and fair, And I must off to","sleepsin-by, and not forget my prayer."
"I know that, till to-morrow I shall see the","sun arise, No ugly dream shall fright my","mind, no ugly sight my eyes."
"But slumber hold me tightly, till","I waken in the dawn, And hear the thrushes",singing in the lilacs round the lawn.
"Children, you are very little, And","your bones are very brittle; If you would grow great and stately,",You must try to walk sedately.
"You must still be bright and quiet, And content","with simple diet; And remain, through all bewild'ring,",Innocent and honest children.
"Happy hearts and happy faces, Happy","play in grassy places-- That was how, in ancient ages,",Children grew to kings and sages.
"But the unkind and the unruly, And","the sort who eat unduly, They must never hope for",glory-- Theirs is quite a different story!
"Cruel children, crying babies, All grow","up as geese and gabies, Hated, as their age","increases, By their nephews and their nieces."
"Summer fading, winter comes-- Frosty","mornings, tingling thumbs, Window robins, winter","rooks, And the picture story-books."
Water now is turned to stone,Nurse and I can walk upon; Still we find the,flowing brooks In the picture story-books.
All the pretty things put by,"Wait upon the childrens' eye, Sheep and shepherds, trees and","crooks, In the picture story-books."
"We may see how all things are,","Seas and cities, near and far, And the flying fairies'","looks, In the picture story-books."
How am I to sing your,"praise, Happy chimney-corner days, Sitting safe in","nursery nooks, Reading picture story-books?"
How do you like to,"go up in a swing, Up in",the air so blue?
"Oh, I do think it the",pleasantest thing Ever,a child can do!
It is very nice to think The world,is full of meat and drink With little children saying,grace In every Christian kind of place.
The lamps now glitter down the street; Faintly,sound the falling feet And the blue even slowly,falls About the garden trees and walls.
Now in the falling of the gloom The,red fire paints the empty room; And warmly on the roof,"it looks, And flickers on the backs of books."
Armies march by tower and spire Of,"cities blazing, in the fire;-- Till as I gaze with staring","eyes, The armies fade, the lustre dies."
Then once again the glow returns;,Again the phantom city burns; And down,"the red-hot valley, lo!"
The phantom,armies marching,go!
"Blinking embers, tell me true Where are","those armies marching to, And what the burning city",is That crumbles in your furnaces!
Down by a shining water,"well I found a very little dell, No",higher than my head.
The heather and the gorse,"about In summer bloom were coming out,",Some yellow and some red.
I called the little pool a,sea; The little hills were big to me;,For I am very small.
"I made a boat, I made","a town, I searched the caverns up and","down, And named them one and all."
"And all about was mine,","I said, The little sparrows overhead,","The little minnows, too."
This was the world and I was,"king; For me the bees came by to sing,",For me the swallows flew.
I played there were no deeper,"seas, Nor any wider plains than these,",Nor other kings than me.
At last I heard my mother,"call Out from the house at evenfall, To",call me home to tea.
And I must rise and leave,"my dell, And leave my dimpled water well,",And leave my heather blooms.
"and as my home I neared, How","very big my nurse appeared, How",great and cool the rooms!
All round the house is the jet-black night; It,"stares through the window-pane; It crawls in the corners, hiding from the","light, And it moves with the moving flame."
"Now my little heart goes a-beating like a drum, With","the breath of Bogie in my hair, And all round the candle the crooked","shadows come, And go marching along up the stair."
"The shadow of the balusters, the shadow of the","lamp, The shadow of the child that goes to bed-- All the wicked shadows","coming, tramp, tramp, tramp, With the black night overhead."
"Late lies the wintry sun a-bed, A frosty,",fiery sleepy-head; Blinks but an hour or two;,"and then, A blood-red orange, sets again."
"Before the stars have left the skies, At",morning in the dark I rise; And shivering in my,"nakedness, By the cold candle, bathe and dress."
Close by the jolly fire I sit,"To warm my frozen bones a bit; Or with a reindeer-sled,",explore The colder countries round the door.
"When to go out, my nurse doth wrap Me in",my comforter and cap; The cold wind burns my face and,blows Its frosty pepper up my nose.
Black are my steps on silver sod; Thick blows,"my frosty breath abroad; And tree and house, and hill","and lake, Are frosted like a wedding-cake."
I can in the,sorrel sit Where the,ladybird alit.
I can climb the jointed grass; And on high,"See the greater swallows pass In the sky, And the round sun",rolling by Heeding no such things as I.
"Through that forest I can pass Till, as in a","looking-glass, Humming fly and daisy tree And my tiny self I see, Painted",very clear and neat On the rain-pool at my feet.
Should a leaflet come to land Drifting,"near to where I stand, Straight I'll board that tiny",boat Round the rain-pool sea to float.
Little thoughtful creatures sit On,the grassy coasts of it; Little things with lovely,eyes See me sailing with surprise.
